transect_id,group_id,TransOrder,azimuth_deg,shoreline_count,shoreline_change_envelope_m,net_shoreline_movement_m,endpoint_rate_myr,endpoint_rate_unc_myr,linear_regression_rate_myr,linear_regression_r2,linear_regression_ci95_myr,weighted_linear_regression_rate_myr,weighted_regression_r2,weighted_regression_ci95_myr
256,0,256,88.08,18,73.4,-29.57,-0.72,0.03,-1.11,0.45,0.65,-1.11,0.45,0.65
257,0,257,88.2,18,64.92,-34.02,-0.83,0.03,-0.99,0.44,0.59,-0.99,0.44,0.59
258,0,258,88.32,18,70.97,-50.43,-1.23,0.03,-1.5,0.59,0.66,-1.5,0.59,0.66
259,0,259,88.45,18,61.67,-22.17,-0.54,0.03,-0.96,0.41,0.6,-0.96,0.41,0.6
260,0,260,88.58,18,55.85,-0.79,-0.02,0.03,-0.55,0.21,0.58,-0.55,0.21,0.58
261,0,261,88.72,18,72.5,-21.5,-0.52,0.03,-0.87,0.31,0.69,-0.87,0.31,0.69
262,0,262,88.99,18,75.31,-35.59,-0.87,0.03,-1.01,0.39,0.67,-1.01,0.39,0.67
263,0,263,89.27,18,62.93,-43.41,-1.06,0.03,-0.95,0.39,0.62,-0.95,0.39,0.62
264,0,264,89.46,18,62.52,-38.39,-0.94,0.03,-0.89,0.36,0.63,-0.89,0.36,0.63
313,0,313,104.4,18,55.99,-29.49,-0.72,0.03,-0.51,0.19,0.55,-0.51,0.19,0.55
314,0,314,104.05,18,51.93,-37.54,-0.92,0.03,-0.84,0.38,0.57,-0.84,0.38,0.57
315,0,315,103.46,18,46.54,-31.06,-0.76,0.03,-0.75,0.34,0.55,-0.75,0.34,0.55
316,0,316,102.87,18,49.38,-17.97,-0.44,0.03,-0.43,0.16,0.52,-0.43,0.16,0.52
317,0,317,103.05,18,46.85,-26.83,-0.65,0.03,-0.61,0.26,0.55,-0.61,0.26,0.55
318,0,318,103.48,18,67.62,-18.37,-0.45,0.03,-0.39,0.09,0.66,-0.39,0.09,0.66
319,0,319,103.91,18,56.35,-13.72,-0.33,0.03,-0.3,0.05,0.66,-0.3,0.05,0.66
320,0,320,104.42,18,45.12,-28.65,-0.7,0.03,-0.61,0.23,0.59,-0.61,0.23,0.59
321,0,321,105.79,18,70.38,-34.79,-0.85,0.03,-0.4,0.08,0.75,-0.4,0.08,0.75
322,0,322,106.26,18,51.14,-35.54,-0.87,0.03,-0.45,0.15,0.58,-0.45,0.15,0.58
323,0,323,106.7,18,50.39,-11.72,-0.29,0.03,-0.08,0.01,0.53,-0.08,0.01,0.53
324,0,324,107.13,18,74.41,-11.55,-0.28,0.03,-0.05,0.0,0.73,-0.05,0.0,0.73
325,0,325,107.56,18,75.84,-7.87,-0.19,0.03,-0.14,0.01,0.82,-0.14,0.01,0.82
326,0,326,107.79,18,53.34,-31.29,-0.76,0.03,-0.79,0.32,0.61,-0.79,0.32,0.61
327,0,327,107.99,18,51.38,-37.36,-0.91,0.03,-0.88,0.43,0.54,-0.88,0.43,0.54
328,0,328,108.01,18,64.18,-48.36,-1.18,0.03,-1.09,0.6,0.48,-1.09,0.6,0.48
329,0,329,107.66,18,73.43,-61.14,-1.49,0.03,-1.39,0.66,0.53,-1.39,0.66,0.53
330,0,330,107.37,18,75.72,-61.14,-1.49,0.03,-1.41,0.66,0.54,-1.41,0.66,0.54
331,0,331,106.8,18,69.81,-50.95,-1.24,0.03,-1.12,0.61,0.48,-1.12,0.61,0.48
332,0,332,106.32,18,63.16,-44.44,-1.08,0.03,-0.91,0.42,0.56,-0.91,0.42,0.56
333,0,333,106.13,18,81.58,-60.78,-1.48,0.03,-1.65,0.79,0.45,-1.65,0.79,0.45
334,0,334,106.98,18,50.13,-31.11,-0.76,0.03,-0.82,0.43,0.5,-0.82,0.43,0.5
335,0,335,107.64,18,57.63,-38.06,-0.93,0.03,-0.93,0.49,0.5,-0.93,0.49,0.5
336,0,336,108.28,18,47.99,-27.32,-0.67,0.03,-0.69,0.43,0.42,-0.69,0.43,0.42
361,0,361,95.56,18,51.25,-6.47,-0.16,0.03,0.08,0.01,0.48,0.08,0.01,0.48
362,0,362,94.87,18,65.43,9.61,0.23,0.03,0.62,0.27,0.54,0.62,0.27,0.54
363,0,363,94.46,18,59.82,-1.13,-0.03,0.03,0.41,0.14,0.54,0.41,0.14,0.54
364,0,364,94.45,18,55.63,-8.06,-0.2,0.03,0.14,0.02,0.53,0.14,0.02,0.53
365,0,365,94.79,18,68.2,1.96,0.05,0.03,0.24,0.04,0.6,0.24,0.04,0.6
366,0,366,95.13,18,75.61,21.46,0.52,0.03,0.58,0.15,0.73,0.58,0.15,0.73
367,0,367,95.14,18,78.26,3.48,0.08,0.03,0.51,0.12,0.75,0.51,0.12,0.75
368,0,368,95.09,18,73.95,0.27,0.01,0.03,0.06,0.0,0.72,0.06,0.0,0.72
369,0,369,95.52,18,77.16,-3.6,-0.09,0.03,-0.28,0.03,0.86,-0.28,0.03,0.86
370,0,370,95.93,18,72.05,10.51,0.26,0.03,0.49,0.17,0.57,0.49,0.17,0.57
371,0,371,96.42,18,82.88,-13.97,-0.34,0.03,0.26,0.02,0.89,0.26,0.02,0.89
372,0,372,98.29,18,76.94,13.88,0.34,0.03,0.68,0.21,0.69,0.68,0.21,0.69
373,0,373,99.96,18,59.2,-1.32,-0.03,0.03,0.15,0.02,0.62,0.15,0.02,0.62
374,0,374,100.68,18,46.92,-32.02,-0.78,0.03,-0.45,0.13,0.61,-0.45,0.13,0.61
375,0,375,102.12,18,61.92,-38.24,-0.93,0.03,-0.58,0.2,0.62,-0.58,0.2,0.62
376,0,376,102.8,18,73.39,-33.63,-0.82,0.03,-0.56,0.18,0.64,-0.56,0.18,0.64
377,0,377,103.31,18,64.37,-36.16,-0.88,0.03,-0.6,0.16,0.74,-0.6,0.16,0.74
378,0,378,102.96,18,65.83,-51.39,-1.25,0.03,-0.75,0.22,0.74,-0.75,0.22,0.74
379,0,379,102.66,18,51.12,-44.83,-1.09,0.03,-0.48,0.16,0.58,-0.48,0.16,0.58
380,0,380,102.73,18,53.32,-38.44,-0.94,0.03,-0.71,0.35,0.51,-0.71,0.35,0.51
381,0,381,102.85,18,46.77,-31.45,-0.77,0.03,-0.69,0.44,0.41,-0.69,0.44,0.41
382,0,382,102.64,18,52.45,-36.4,-0.89,0.03,-0.81,0.45,0.48,-0.81,0.45,0.48
383,0,383,101.76,18,49.85,-8.78,-0.21,0.03,-0.53,0.25,0.49,-0.53,0.25,0.49
384,0,384,100.83,18,49.21,-29.18,-0.71,0.03,-0.5,0.17,0.58,-0.5,0.17,0.58
433,0,433,120.52,18,57.88,-29.56,-0.72,0.03,-0.46,0.18,0.52,-0.46,0.18,0.52
434,0,434,120.84,18,41.06,-3.68,-0.09,0.03,-0.14,0.03,0.42,-0.14,0.03,0.42
435,0,435,120.76,18,52.64,11.04,0.27,0.03,0.26,0.05,0.56,0.26,0.05,0.56
436,0,436,120.47,18,97.91,-78.51,-1.91,0.03,-0.57,0.11,0.86,-0.57,0.11,0.86
437,0,437,120.42,18,74.26,-55.23,-1.35,0.03,-0.41,0.09,0.68,-0.41,0.09,0.68
438,0,438,120.4,18,69.01,11.58,0.28,0.03,0.62,0.18,0.7,0.62,0.18,0.7
439,0,439,119.59,18,103.12,34.92,0.85,0.03,1.67,0.52,0.85,1.67,0.52,0.85
440,0,440,115.73,18,41.93,-14.93,-0.36,0.03,-0.14,0.03,0.47,-0.14,0.03,0.47
441,0,441,112.83,18,51.85,-13.71,-0.33,0.03,-0.26,0.06,0.52,-0.26,0.06,0.52
442,0,442,110.53,18,45.08,-18.68,-0.46,0.03,-0.4,0.16,0.48,-0.4,0.16,0.48
443,0,443,108.44,18,42.72,-19.71,-0.48,0.03,-0.4,0.16,0.5,-0.4,0.16,0.5
444,0,444,108.01,18,50.21,-6.54,-0.16,0.03,0.01,0.0,0.49,0.01,0.0,0.49
445,0,445,107.31,18,68.65,-8.19,-0.2,0.03,-0.15,0.01,0.79,-0.15,0.01,0.79
446,0,446,106.53,18,60.12,-28.68,-0.7,0.03,-0.05,0.0,0.66,-0.05,0.0,0.66
447,0,447,104.81,18,45.48,-40.21,-0.98,0.03,-0.57,0.26,0.51,-0.57,0.26,0.51
448,0,448,102.27,18,44.9,-34.16,-0.83,0.03,-0.56,0.28,0.47,-0.56,0.28,0.47
449,0,449,100.46,18,48.32,-29.39,-0.72,0.03,-0.39,0.13,0.53,-0.39,0.13,0.53
450,0,450,99.09,18,44.34,-28.04,-0.68,0.03,-0.34,0.1,0.54,-0.34,0.1,0.54
451,0,451,96.62,18,47.59,-7.03,-0.17,0.03,0.02,0.0,0.52,0.02,0.0,0.52
452,0,452,94.14,18,44.95,-21.33,-0.52,0.03,-0.35,0.12,0.51,-0.35,0.12,0.51
453,0,453,92.2,18,46.63,-33.74,-0.82,0.03,-0.59,0.31,0.46,-0.59,0.31,0.46
454,0,454,91.01,18,40.39,-26.24,-0.64,0.03,-0.51,0.26,0.45,-0.51,0.26,0.45
455,0,455,90.01,18,45.56,-18.41,-0.45,0.03,-0.46,0.2,0.48,-0.46,0.2,0.48
456,0,456,89.07,18,50.39,-24.26,-0.59,0.03,-0.41,0.15,0.52,-0.41,0.15,0.52
481,0,481,131.83,18,646.73,609.91,14.87,0.03,6.46,0.24,6.18,6.46,0.24,6.18
482,0,482,132.96,18,622.04,566.15,13.8,0.03,6.34,0.26,5.62,6.34,0.26,5.62
483,0,483,135.31,18,622.46,562.33,13.71,0.03,6.29,0.27,5.44,6.29,0.27,5.44
484,0,484,135.38,18,640.08,588.98,14.36,0.03,6.51,0.27,5.66,6.51,0.27,5.66
485,0,485,132.23,18,653.67,610.47,14.88,0.03,6.23,0.23,6.08,6.23,0.23,6.08
486,0,486,129.08,18,650.23,597.36,14.56,0.03,5.61,0.2,5.9,5.61,0.2,5.9
