transect_id,group_id,TransOrder,azimuth_deg,shoreline_count,shoreline_change_envelope_m,net_shoreline_movement_m,endpoint_rate_myr,endpoint_rate_unc_myr,linear_regression_rate_myr,linear_regression_r2,linear_regression_ci95_myr,weighted_linear_regression_rate_myr,weighted_regression_r2,weighted_regression_ci95_myr
602,0,602,72.48,18,58.49,-35.81,-0.87,0.03,-1.09,0.63,0.44,-1.09,0.63,0.44
603,0,603,72.31,18,49.08,-20.69,-0.5,0.03,-0.81,0.51,0.42,-0.81,0.51,0.42
604,0,604,72.42,18,51.63,-17.36,-0.42,0.03,-0.64,0.38,0.44,-0.64,0.38,0.44
605,0,605,72.48,18,44.37,-20.77,-0.51,0.03,-0.53,0.32,0.41,-0.53,0.32,0.41
606,0,606,72.52,18,50.09,-12.73,-0.31,0.03,-0.37,0.16,0.46,-0.37,0.16,0.46
607,0,607,72.55,18,51.07,-18.35,-0.45,0.03,-0.64,0.34,0.47,-0.64,0.34,0.47
608,0,608,72.81,18,50.7,-21.99,-0.54,0.03,-0.67,0.31,0.53,-0.67,0.31,0.53
609,0,609,73.17,18,51.38,-22.82,-0.56,0.03,-0.79,0.36,0.56,-0.79,0.36,0.56
610,0,610,73.53,18,47.24,-20.52,-0.5,0.03,-0.69,0.33,0.51,-0.69,0.33,0.51
611,0,611,73.93,18,52.72,-15.44,-0.38,0.03,-0.64,0.33,0.48,-0.64,0.33,0.48
612,0,612,74.32,18,44.9,-11.42,-0.28,0.03,-0.6,0.34,0.44,-0.6,0.34,0.44
613,0,613,74.72,18,54.09,-11.39,-0.28,0.03,-0.57,0.28,0.48,-0.57,0.28,0.48
614,0,614,75.12,18,48.98,-20.19,-0.49,0.03,-0.75,0.51,0.39,-0.75,0.51,0.39
615,0,615,75.41,18,48.81,-26.34,-0.64,0.03,-0.81,0.49,0.44,-0.81,0.49,0.44
616,0,616,75.63,18,45.15,-27.42,-0.67,0.03,-0.85,0.56,0.4,-0.85,0.56,0.4
617,0,617,75.85,18,42.53,-28.07,-0.68,0.03,-0.84,0.56,0.39,-0.84,0.56,0.39
618,0,618,76.52,18,38.6,-25.36,-0.62,0.03,-0.78,0.62,0.33,-0.78,0.62,0.33
619,0,619,78.11,18,45.77,-24.44,-0.6,0.03,-0.85,0.57,0.39,-0.85,0.57,0.39
620,0,620,80.27,18,42.59,-26.13,-0.64,0.03,-0.81,0.61,0.34,-0.81,0.61,0.34
621,0,621,82.67,18,50.75,-39.69,-0.97,0.03,-1.01,0.72,0.34,-1.01,0.72,0.34
622,0,622,85.12,18,55.78,-33.83,-0.82,0.03,-1.06,0.64,0.42,-1.06,0.64,0.42
623,0,623,86.42,18,60.58,-25.04,-0.61,0.03,-1.01,0.57,0.47,-1.01,0.57,0.47
624,0,624,87.44,18,52.84,-31.41,-0.77,0.03,-1.09,0.72,0.36,-1.09,0.72,0.36
625,0,625,88.45,18,67.98,-38.48,-0.94,0.03,-1.21,0.71,0.41,-1.21,0.71,0.41
626,0,626,89.42,18,60.89,-30.89,-0.75,0.03,-1.12,0.66,0.43,-1.12,0.66,0.43
627,0,627,90.34,18,67.03,-40.22,-0.98,0.03,-1.39,0.71,0.48,-1.39,0.71,0.48
628,0,628,91.29,18,60.37,-38.93,-0.95,0.03,-1.29,0.71,0.43,-1.29,0.71,0.43
629,0,629,92.18,18,57.92,-22.38,-0.55,0.03,-1.08,0.61,0.46,-1.08,0.61,0.46
630,0,630,93.04,18,56.93,-6.55,-0.16,0.03,-0.93,0.47,0.52,-0.93,0.47,0.52
631,0,631,93.91,18,46.85,-30.94,-0.75,0.03,-0.91,0.61,0.38,-0.91,0.61,0.38
632,0,632,94.64,18,61.86,-8.53,-0.21,0.03,-0.53,0.18,0.6,-0.53,0.18,0.6
633,0,633,94.5,18,67.31,-11.15,-0.27,0.03,-0.41,0.12,0.59,-0.41,0.12,0.59
634,0,634,94.99,18,69.08,-21.69,-0.53,0.03,-0.42,0.12,0.59,-0.42,0.12,0.59
635,0,635,95.49,18,49.95,-17.41,-0.42,0.03,-0.89,0.5,0.47,-0.89,0.5,0.47
636,0,636,95.98,18,50.03,-33.61,-0.82,0.03,-1.05,0.67,0.39,-1.05,0.67,0.39
637,0,637,96.48,18,55.82,-34.69,-0.85,0.03,-1.14,0.76,0.34,-1.14,0.76,0.34
638,0,638,96.97,18,72.77,-47.82,-1.17,0.03,-1.4,0.82,0.35,-1.4,0.82,0.35
639,0,639,97.45,18,69.61,-46.98,-1.15,0.03,-1.33,0.78,0.37,-1.33,0.78,0.37
640,0,640,97.94,18,63.58,-41.95,-1.02,0.03,-1.14,0.63,0.46,-1.14,0.63,0.46
641,0,641,99.4,18,59.23,-38.19,-0.93,0.03,-1.02,0.59,0.46,-1.02,0.59,0.46
642,0,642,99.99,18,67.98,-30.43,-0.74,0.03,-1.17,0.69,0.41,-1.17,0.69,0.41
643,0,643,100.08,18,47.28,-12.52,-0.31,0.03,-0.76,0.47,0.43,-0.76,0.47,0.43
644,0,644,101.28,18,47.6,-8.82,-0.22,0.03,-0.75,0.46,0.44,-0.75,0.46,0.44
645,0,645,100.27,18,48.79,-33.37,-0.81,0.03,-0.94,0.78,0.27,-0.94,0.78,0.27
646,0,646,99.34,18,53.26,-27.02,-0.66,0.03,-0.88,0.45,0.52,-0.88,0.45,0.52
647,0,647,98.66,18,64.11,-33.4,-0.81,0.03,-1.08,0.48,0.6,-1.08,0.48,0.6
648,0,648,98.82,18,64.97,-46.66,-1.14,0.03,-1.27,0.58,0.57,-1.27,0.58,0.57
673,0,673,121.01,18,76.49,-49.21,-1.2,0.03,-1.37,0.53,0.68,-1.37,0.53,0.68
674,0,674,120.02,18,81.94,-34.87,-0.85,0.03,-1.39,0.49,0.76,-1.39,0.49,0.76
675,0,675,118.36,18,60.69,-23.19,-0.57,0.03,-1.0,0.47,0.56,-1.0,0.47,0.56
676,0,676,116.71,18,89.96,-63.88,-1.56,0.03,-1.8,0.63,0.73,-1.8,0.63,0.73
677,0,677,116.25,18,69.46,-48.1,-1.17,0.03,-1.21,0.53,0.6,-1.21,0.53,0.6
678,0,678,116.44,18,78.97,-49.57,-1.21,0.03,-1.27,0.42,0.79,-1.27,0.42,0.79
679,0,679,117.04,18,203.63,-122.72,-2.99,0.03,-4.32,0.61,1.85,-4.32,0.61,1.85
680,0,680,118.34,18,68.46,-35.67,-0.87,0.03,-0.55,0.14,0.73,-0.55,0.14,0.73
681,0,681,118.14,18,61.75,-19.34,-0.47,0.03,-0.43,0.08,0.77,-0.43,0.08,0.77
682,0,682,118.36,18,143.68,-4.43,-0.11,0.03,-0.67,0.07,1.33,-0.67,0.07,1.33
683,0,683,119.18,18,231.27,11.4,0.28,0.03,-0.81,0.02,3.48,-0.81,0.02,3.48
684,0,684,120.35,18,291.44,-0.51,-0.01,0.03,1.67,0.06,3.65,1.67,0.06,3.65
685,0,685,120.68,18,105.29,-59.35,-1.45,0.03,-1.47,0.34,1.07,-1.47,0.34,1.07
686,0,686,120.49,18,223.17,-78.13,-1.9,0.03,-0.35,0.0,2.94,-0.35,0.0,2.94
687,0,687,120.36,18,93.04,-88.9,-2.17,0.03,-1.7,0.59,0.76,-1.7,0.59,0.76
688,0,688,118.77,18,87.62,-82.12,-2.0,0.03,-1.46,0.54,0.71,-1.46,0.54,0.71
689,0,689,115.81,18,79.96,-74.43,-1.81,0.03,-1.67,0.83,0.4,-1.67,0.83,0.4
690,0,690,111.67,18,74.43,-64.16,-1.56,0.03,-1.63,0.75,0.49,-1.63,0.75,0.49
691,0,691,107.55,18,59.19,-36.33,-0.89,0.03,-0.87,0.46,0.5,-0.87,0.46,0.5
692,0,692,104.9,18,41.88,-27.52,-0.67,0.03,-0.61,0.51,0.32,-0.61,0.51,0.32
693,0,693,104.73,18,42.05,-33.52,-0.82,0.03,-0.69,0.41,0.44,-0.69,0.41,0.44
694,0,694,102.95,18,43.55,-26.78,-0.65,0.03,-0.45,0.27,0.4,-0.45,0.27,0.4
695,0,695,100.87,18,94.19,-26.42,-0.64,0.03,-1.19,0.48,0.65,-1.19,0.48,0.65
696,0,696,99.17,18,52.81,-33.59,-0.82,0.03,-0.94,0.75,0.29,-0.94,0.75,0.29
721,0,721,87.59,18,57.2,-45.46,-1.11,0.03,-1.29,0.77,0.38,-1.29,0.77,0.38
722,0,722,88.01,18,73.32,-63.49,-1.55,0.03,-1.54,0.76,0.46,-1.54,0.76,0.46
723,0,723,88.78,18,62.99,-53.12,-1.3,0.03,-1.26,0.6,0.54,-1.26,0.6,0.54
724,0,724,91.05,18,68.69,-41.15,-1.0,0.03,-1.17,0.54,0.58,-1.17,0.54,0.58
725,0,725,93.48,18,53.8,-27.28,-0.67,0.03,-0.68,0.31,0.54,-0.68,0.31,0.54
726,0,726,95.72,18,59.41,-51.92,-1.27,0.03,-1.26,0.69,0.44,-1.26,0.69,0.44
727,0,727,97.8,18,52.91,-39.7,-0.97,0.03,-0.91,0.68,0.33,-0.91,0.68,0.33
728,0,728,98.74,18,67.06,-37.83,-0.92,0.03,-0.85,0.36,0.59,-0.85,0.36,0.59
729,0,729,100.16,18,60.38,-24.16,-0.59,0.03,-0.84,0.54,0.41,-0.84,0.54,0.41
730,0,730,100.99,18,72.25,-23.84,-0.58,0.03,-1.1,0.54,0.54,-1.1,0.54,0.54
731,0,731,101.71,18,67.07,-25.26,-0.62,0.03,-0.98,0.48,0.54,-0.98,0.48,0.54
732,0,732,102.42,18,70.16,-35.18,-0.86,0.03,-1.06,0.56,0.5,-1.06,0.56,0.5
733,0,733,102.81,18,64.25,-44.65,-1.09,0.03,-1.09,0.63,0.45,-1.09,0.63,0.45
734,0,734,102.89,18,60.99,-14.09,-0.34,0.03,-1.03,0.55,0.5,-1.03,0.55,0.5
735,0,735,102.98,18,36.79,-11.08,-0.27,0.03,-0.53,0.37,0.37,-0.53,0.37,0.37
736,0,736,103.57,18,51.92,-35.89,-0.88,0.03,-0.76,0.44,0.45,-0.76,0.44,0.45
737,0,737,103.99,18,65.27,-40.62,-0.99,0.03,-0.96,0.54,0.47,-0.96,0.54,0.47
738,0,738,105.39,18,68.42,-50.48,-1.23,0.03,-1.18,0.72,0.39,-1.18,0.72,0.39
739,0,739,106.51,18,66.35,-35.28,-0.86,0.03,-1.0,0.59,0.44,-1.0,0.59,0.44
740,0,740,108.16,18,61.76,-24.66,-0.6,0.03,-0.96,0.53,0.48,-0.96,0.53,0.48
741,0,741,108.28,18,75.68,-26.79,-0.65,0.03,-1.34,0.57,0.61,-1.34,0.57,0.61
742,0,742,107.95,18,83.65,-37.21,-0.91,0.03,-1.48,0.57,0.67,-1.48,0.57,0.67
743,0,743,107.31,18,78.54,-63.75,-1.55,0.03,-1.94,0.82,0.48,-1.94,0.82,0.48
744,0,744,106.95,18,80.36,-61.85,-1.51,0.03,-2.0,0.78,0.57,-2.0,0.78,0.57
793,0,793,112.08,18,67.93,-50.8,-1.24,0.03,-1.3,0.66,0.49,-1.3,0.66,0.49
794,0,794,114.65,18,76.52,-59.32,-1.45,0.03,-1.52,0.6,0.65,-1.52,0.6,0.65
795,0,795,116.97,18,67.17,-43.47,-1.06,0.03,-1.27,0.52,0.65,-1.27,0.52,0.65
796,0,796,118.14,18,68.08,-34.33,-0.84,0.03,-1.06,0.43,0.64,-1.06,0.43,0.64
797,0,797,119.21,18,82.27,-50.0,-1.22,0.03,-1.7,0.65,0.67,-1.7,0.65,0.67
798,0,798,120.48,18,58.32,-45.47,-1.11,0.03,-1.17,0.64,0.47,-1.17,0.64,0.47
799,0,799,121.84,18,46.58,-24.31,-0.59,0.03,-0.87,0.52,0.44,-0.87,0.52,0.44
800,0,800,122.24,18,54.9,-44.42,-1.08,0.03,-1.21,0.65,0.46,-1.21,0.65,0.46
801,0,801,124.35,18,65.49,-49.3,-1.2,0.03,-1.19,0.53,0.6,-1.19,0.53,0.6
802,0,802,125.32,18,67.07,-48.59,-1.18,0.03,-1.16,0.57,0.54,-1.16,0.57,0.54
803,0,803,126.38,18,68.91,-50.11,-1.22,0.03,-1.07,0.46,0.61,-1.07,0.46,0.61
804,0,804,126.8,18,40.48,-19.02,-0.46,0.03,-0.5,0.3,0.41,-0.5,0.3,0.41
805,0,805,126.34,18,52.44,-35.37,-0.86,0.03,-0.82,0.47,0.46,-0.82,0.47,0.46
806,0,806,125.94,18,59.72,-45.25,-1.1,0.03,-0.99,0.46,0.58,-0.99,0.46,0.58
807,0,807,125.51,18,66.84,-46.76,-1.14,0.03,-1.29,0.66,0.49,-1.29,0.66,0.49
808,0,808,124.81,18,72.43,-46.81,-1.14,0.03,-1.4,0.62,0.58,-1.4,0.62,0.58
809,0,809,123.39,18,60.84,-28.5,-0.69,0.03,-1.04,0.48,0.58,-1.04,0.48,0.58
810,0,810,120.81,18,74.31,-29.64,-0.72,0.03,-1.38,0.52,0.71,-1.38,0.52,0.71
811,0,811,118.76,18,65.61,-25.17,-0.61,0.03,-1.16,0.46,0.67,-1.16,0.46,0.67
812,0,812,119.77,18,68.25,-14.41,-0.35,0.03,-1.11,0.41,0.7,-1.11,0.41,0.7
813,0,813,123.26,18,69.25,-27.17,-0.66,0.03,-1.09,0.53,0.55,-1.09,0.53,0.55
814,0,814,126.48,18,70.67,-28.24,-0.69,0.03,-1.32,0.64,0.52,-1.32,0.64,0.52
815,0,815,129.02,18,59.26,-31.14,-0.76,0.03,-1.0,0.53,0.5,-1.0,0.53,0.5
816,0,816,129.55,18,94.26,-59.57,-1.45,0.03,-1.98,0.7,0.68,-1.98,0.7,0.68
841,0,841,144.13,18,63.52,-35.48,-0.86,0.03,-0.94,0.49,0.51,-0.94,0.49,0.51
842,0,842,146.34,18,71.6,-31.31,-0.76,0.03,-1.39,0.59,0.61,-1.39,0.59,0.61
843,0,843,149.39,18,54.47,-18.31,-0.45,0.03,-0.97,0.44,0.58,-0.97,0.44,0.58
844,0,844,152.0,18,58.67,-23.04,-0.56,0.03,-0.86,0.51,0.44,-0.86,0.51,0.44
845,0,845,153.4,18,53.84,-13.42,-0.33,0.03,-0.83,0.52,0.42,-0.83,0.52,0.42
846,0,846,154.9,18,61.4,-30.17,-0.74,0.03,-1.25,0.76,0.37,-1.25,0.76,0.37
847,0,847,156.63,18,76.39,-37.07,-0.9,0.03,-0.96,0.28,0.81,-0.96,0.28,0.81
848,0,848,154.97,18,56.96,-32.31,-0.79,0.03,-1.0,0.57,0.46,-1.0,0.57,0.46
849,0,849,151.87,18,61.42,-16.83,-0.41,0.03,-0.94,0.29,0.78,-0.94,0.29,0.78
850,0,850,148.43,18,52.43,-2.03,-0.05,0.03,-0.55,0.18,0.62,-0.55,0.18,0.62
851,0,851,145.83,18,53.91,-17.08,-0.42,0.03,-0.79,0.41,0.5,-0.79,0.41,0.5
852,0,852,144.75,18,48.21,-21.4,-0.52,0.03,-0.81,0.44,0.48,-0.81,0.44,0.48
853,0,853,145.2,18,52.49,-35.45,-0.86,0.03,-0.82,0.64,0.33,-0.82,0.64,0.33
854,0,854,143.82,18,59.24,-42.2,-1.03,0.03,-0.97,0.52,0.49,-0.97,0.52,0.49
855,0,855,143.15,18,47.92,-30.43,-0.74,0.03,-0.85,0.53,0.42,-0.85,0.53,0.42
856,0,856,142.62,18,50.23,-26.05,-0.64,0.03,-0.98,0.53,0.49,-0.98,0.53,0.49
857,0,857,141.07,18,76.42,-6.8,-0.17,0.03,-1.11,0.33,0.84,-1.11,0.33,0.84
858,0,858,139.24,18,59.73,-19.52,-0.48,0.03,-0.87,0.37,0.6,-0.87,0.37,0.6
859,0,859,136.7,18,50.19,-24.01,-0.59,0.03,-0.78,0.49,0.42,-0.78,0.49,0.42
860,0,860,137.03,18,70.41,-7.64,-0.19,0.03,-0.95,0.37,0.66,-0.95,0.37,0.66
861,0,861,136.86,18,73.79,-22.13,-0.54,0.03,-1.15,0.47,0.65,-1.15,0.47,0.65
862,0,862,135.7,18,97.59,-52.82,-1.29,0.03,-1.79,0.57,0.82,-1.79,0.57,0.82
863,0,863,134.16,18,111.35,-65.04,-1.59,0.03,-1.81,0.54,0.89,-1.81,0.54,0.89
864,0,864,132.1,18,84.12,-42.5,-1.04,0.03,-1.38,0.48,0.76,-1.38,0.48,0.76
865,0,865,128.99,18,98.24,-68.63,-1.67,0.03,-2.09,0.81,0.54,-2.09,0.81,0.54
866,0,866,125.79,18,70.12,-49.76,-1.21,0.03,-1.48,0.67,0.56,-1.48,0.67,0.56
867,0,867,122.58,18,74.72,-54.95,-1.34,0.03,-1.28,0.65,0.5,-1.28,0.65,0.5
868,0,868,119.13,18,76.31,-58.44,-1.42,0.03,-1.49,0.6,0.65,-1.49,0.6,0.65
869,0,869,116.62,18,68.48,-50.57,-1.23,0.03,-1.2,0.58,0.55,-1.2,0.58,0.55
870,0,870,115.53,18,70.25,-31.33,-0.76,0.03,-0.97,0.36,0.69,-0.97,0.36,0.69
871,0,871,113.98,18,74.38,-19.52,-0.48,0.03,-1.08,0.38,0.73,-1.08,0.38,0.73
872,0,872,111.91,18,70.69,-33.96,-0.83,0.03,-0.96,0.37,0.67,-0.96,0.37,0.67
873,0,873,110.28,18,64.95,-23.83,-0.58,0.03,-0.78,0.32,0.6,-0.78,0.32,0.6
874,0,874,109.51,18,68.98,-31.51,-0.77,0.03,-1.07,0.53,0.53,-1.07,0.53,0.53
875,0,875,111.02,18,78.52,-24.33,-0.59,0.03,-1.03,0.42,0.65,-1.03,0.42,0.65
876,0,876,113.39,18,70.1,-10.19,-0.25,0.03,-0.8,0.34,0.6,-0.8,0.34,0.6
877,0,877,114.21,18,86.05,-20.66,-0.5,0.03,-1.06,0.37,0.73,-1.06,0.37,0.73
878,0,878,113.27,18,77.32,-12.71,-0.31,0.03,-0.99,0.39,0.66,-0.99,0.39,0.66
879,0,879,113.65,18,67.94,-2.39,-0.06,0.03,-0.86,0.33,0.65,-0.86,0.33,0.65
880,0,880,113.22,18,77.21,-8.01,-0.2,0.03,-0.97,0.34,0.71,-0.97,0.34,0.71
881,0,881,112.99,18,88.52,-14.67,-0.36,0.03,-1.17,0.36,0.83,-1.17,0.36,0.83
882,0,882,112.96,18,76.5,-21.7,-0.53,0.03,-1.02,0.35,0.74,-1.02,0.35,0.74
883,0,883,112.18,18,77.72,-25.13,-0.61,0.03,-1.06,0.33,0.8,-1.06,0.33,0.8
884,0,884,111.95,18,76.56,-25.39,-0.62,0.03,-1.14,0.39,0.75,-1.14,0.39,0.75
885,0,885,110.34,18,78.44,-30.11,-0.73,0.03,-1.16,0.44,0.69,-1.16,0.44,0.69
886,0,886,108.19,18,73.04,-19.68,-0.48,0.03,-1.09,0.48,0.6,-1.09,0.48,0.6
887,0,887,107.5,18,67.31,-17.69,-0.43,0.03,-0.96,0.42,0.6,-0.96,0.42,0.6
888,0,888,107.01,18,79.21,27.07,0.66,0.03,-0.62,0.08,1.09,-0.62,0.08,1.09
913,0,913,105.22,18,71.45,-57.88,-1.41,0.03,-1.5,0.6,0.65,-1.5,0.6,0.65
914,0,914,105.97,18,87.35,-67.54,-1.65,0.03,-1.84,0.61,0.78,-1.84,0.61,0.78
915,0,915,106.05,18,93.32,-72.93,-1.78,0.03,-2.02,0.63,0.83,-2.02,0.63,0.83
916,0,916,104.92,18,78.04,-49.91,-1.22,0.03,-1.49,0.49,0.81,-1.49,0.49,0.81
917,0,917,104.22,18,67.13,-38.03,-0.93,0.03,-1.24,0.61,0.53,-1.24,0.61,0.53
918,0,918,103.79,18,101.66,-42.74,-1.04,0.03,-1.74,0.53,0.86,-1.74,0.53,0.86
919,0,919,103.37,18,157.78,-81.21,-1.98,0.03,-2.22,0.45,1.31,-2.22,0.45,1.31
920,0,920,102.96,18,73.43,-38.68,-0.94,0.03,-1.44,0.7,0.5,-1.44,0.7,0.5
921,0,921,101.55,18,68.01,-36.03,-0.88,0.03,-1.54,0.67,0.58,-1.54,0.67,0.58
922,0,922,99.79,18,57.22,-24.27,-0.59,0.03,-1.19,0.55,0.56,-1.19,0.55,0.56
923,0,923,98.9,18,95.1,-11.56,-0.28,0.03,-0.91,0.22,0.91,-0.91,0.22,0.91
924,0,924,98.18,18,83.46,-53.83,-1.31,0.03,-1.8,0.79,0.5,-1.8,0.79,0.5
925,0,925,96.96,18,104.41,-82.24,-2.01,0.03,-2.34,0.81,0.59,-2.34,0.81,0.59
926,0,926,95.79,18,92.05,-84.82,-2.07,0.03,-2.31,0.79,0.63,-2.31,0.79,0.63
927,0,927,94.72,18,94.73,-83.02,-2.02,0.03,-2.29,0.78,0.65,-2.29,0.78,0.65
928,0,928,94.25,18,91.24,-70.73,-1.72,0.03,-2.18,0.78,0.62,-2.18,0.78,0.62
929,0,929,94.48,18,96.97,-61.78,-1.51,0.03,-2.04,0.68,0.74,-2.04,0.68,0.74
930,0,930,95.09,18,71.05,-35.03,-0.85,0.03,-1.38,0.58,0.63,-1.38,0.58,0.63
931,0,931,92.93,18,73.58,-41.0,-1.0,0.03,-1.34,0.67,0.5,-1.34,0.67,0.5
932,0,932,90.47,18,79.79,-49.66,-1.21,0.03,-1.5,0.69,0.53,-1.5,0.69,0.53
933,0,933,88.83,18,83.29,-57.17,-1.39,0.03,-1.67,0.64,0.66,-1.67,0.64,0.66
934,0,934,88.43,18,67.51,-41.2,-1.0,0.03,-1.27,0.47,0.71,-1.27,0.47,0.71
935,0,935,88.91,18,68.53,-44.82,-1.09,0.03,-1.33,0.51,0.69,-1.33,0.51,0.69
936,0,936,88.95,18,72.66,-42.17,-1.03,0.03,-1.45,0.59,0.64,-1.45,0.59,0.64
961,0,961,108.39,18,90.2,-61.13,-1.49,0.03,-1.72,0.73,0.56,-1.72,0.73,0.56
962,0,962,105.33,18,69.12,-51.74,-1.26,0.03,-1.19,0.61,0.51,-1.19,0.61,0.51
963,0,963,103.05,18,69.46,-43.11,-1.05,0.03,-1.2,0.64,0.48,-1.2,0.64,0.48
964,0,964,100.06,18,74.98,-53.52,-1.3,0.03,-1.31,0.54,0.65,-1.31,0.54,0.65
965,0,965,97.03,18,101.55,-83.87,-2.04,0.03,-1.3,0.51,0.67,-1.3,0.51,0.67
966,0,966,94.6,18,77.18,-56.75,-1.38,0.03,-1.41,0.62,0.59,-1.41,0.62,0.59
967,0,967,92.09,18,63.58,-31.76,-0.77,0.03,-1.08,0.65,0.42,-1.08,0.65,0.42
968,0,968,88.27,18,63.9,-12.38,-0.3,0.03,-0.62,0.28,0.53,-0.62,0.28,0.53
969,0,969,84.76,18,58.49,-16.73,-0.41,0.03,-0.52,0.22,0.52,-0.52,0.22,0.52
970,0,970,81.58,18,57.39,-4.33,-0.11,0.03,-0.53,0.26,0.47,-0.53,0.26,0.47
971,0,971,78.62,18,47.13,-10.5,-0.26,0.03,-0.5,0.3,0.4,-0.5,0.3,0.4
972,0,972,76.63,18,60.73,-18.28,-0.45,0.03,-0.46,0.21,0.47,-0.46,0.21,0.47
973,0,973,74.72,18,47.95,-8.62,-0.21,0.03,-0.36,0.18,0.41,-0.36,0.18,0.41
974,0,974,72.9,18,42.34,-14.13,-0.34,0.03,-0.37,0.18,0.42,-0.37,0.18,0.42
975,0,975,71.71,18,53.27,-23.38,-0.57,0.03,-0.5,0.19,0.55,-0.5,0.19,0.55
976,0,976,70.53,18,54.71,-29.51,-0.72,0.03,-0.68,0.38,0.46,-0.68,0.38,0.46
977,0,977,69.54,18,60.04,-27.99,-0.68,0.03,-0.91,0.5,0.49,-0.91,0.5,0.49
978,0,978,68.9,18,52.84,-8.48,-0.21,0.03,-0.47,0.15,0.59,-0.47,0.15,0.59
979,0,979,68.27,18,54.3,-14.83,-0.36,0.03,-0.37,0.1,0.59,-0.37,0.1,0.59
980,0,980,67.68,18,49.1,-21.76,-0.53,0.03,-0.42,0.13,0.58,-0.42,0.13,0.58
981,0,981,67.0,18,48.35,-30.68,-0.75,0.03,-0.55,0.2,0.58,-0.55,0.2,0.58
982,0,982,66.26,18,46.81,-34.44,-0.84,0.03,-0.61,0.24,0.58,-0.61,0.24,0.58
983,0,983,65.55,18,52.47,-39.03,-0.95,0.03,-0.67,0.25,0.61,-0.67,0.25,0.61
984,0,984,65.24,18,48.73,-33.47,-0.82,0.03,-0.61,0.25,0.57,-0.61,0.25,0.57
1033,0,1033,64.89,18,48.85,-29.9,-0.73,0.03,-0.86,0.37,0.6,-0.86,0.37,0.6
1034,0,1034,65.44,18,48.18,-32.78,-0.8,0.03,-0.91,0.43,0.55,-0.91,0.43,0.55
1035,0,1035,65.91,18,45.24,-34.98,-0.85,0.03,-0.9,0.47,0.5,-0.9,0.47,0.5
1036,0,1036,66.19,18,41.8,-32.46,-0.79,0.03,-0.8,0.48,0.44,-0.8,0.48,0.44
1037,0,1037,66.45,18,48.44,-40.35,-0.98,0.03,-1.07,0.59,0.48,-1.07,0.59,0.48
1038,0,1038,66.72,18,57.58,-41.3,-1.01,0.03,-1.03,0.56,0.49,-1.03,0.56,0.49
1039,0,1039,66.99,18,66.72,-42.72,-1.04,0.03,-1.06,0.53,0.53,-1.06,0.53,0.53
1040,0,1040,67.26,18,75.87,-48.88,-1.19,0.03,-1.27,0.57,0.58,-1.27,0.57,0.58
1041,0,1041,67.51,18,82.15,-50.22,-1.22,0.03,-1.39,0.58,0.63,-1.39,0.58,0.63
1042,0,1042,67.69,18,78.64,-41.08,-1.0,0.03,-1.05,0.43,0.64,-1.05,0.43,0.64
1043,0,1043,67.92,18,75.12,-31.94,-0.78,0.03,-0.92,0.37,0.64,-0.92,0.37,0.64
1044,0,1044,68.2,18,74.96,-29.07,-0.71,0.03,-0.8,0.25,0.74,-0.8,0.25,0.74
1045,0,1045,68.48,18,68.09,-27.02,-0.66,0.03,-0.73,0.3,0.6,-0.73,0.3,0.6
1046,0,1046,68.76,18,67.46,-34.35,-0.84,0.03,-1.07,0.49,0.58,-1.07,0.49,0.58
1047,0,1047,69.04,18,65.45,-30.01,-0.73,0.03,-0.92,0.44,0.56,-0.92,0.44,0.56
1048,0,1048,69.32,18,62.83,-25.68,-0.63,0.03,-0.76,0.36,0.54,-0.76,0.36,0.54
1049,0,1049,69.62,18,60.21,-15.56,-0.38,0.03,-0.29,0.07,0.55,-0.29,0.07,0.55
1050,0,1050,69.99,18,71.01,-7.09,-0.17,0.03,0.1,0.01,0.66,0.1,0.01,0.66
1051,0,1051,70.36,18,75.54,4.57,0.11,0.03,0.34,0.07,0.67,0.34,0.07,0.67
1052,0,1052,70.46,18,68.41,4.44,0.11,0.03,0.32,0.07,0.62,0.32,0.07,0.62
1053,0,1053,70.56,18,60.39,-3.88,-0.09,0.03,0.13,0.01,0.56,0.13,0.01,0.56
1054,0,1054,70.67,18,48.46,-11.61,-0.28,0.03,-0.1,0.01,0.49,-0.1,0.01,0.49
1055,0,1055,70.77,18,46.31,-15.21,-0.37,0.03,-0.25,0.08,0.44,-0.25,0.08,0.44
1056,0,1056,70.88,18,44.16,-18.81,-0.46,0.03,-0.31,0.13,0.42,-0.31,0.13,0.42
1081,0,1081,69.15,18,45.56,-22.84,-0.56,0.03,-0.57,0.4,0.37,-0.57,0.4,0.37
1082,0,1082,68.85,18,44.27,-20.16,-0.49,0.03,-0.55,0.35,0.4,-0.55,0.35,0.4
1083,0,1083,68.55,18,49.22,-20.39,-0.5,0.03,-0.56,0.2,0.59,-0.56,0.2,0.59
1084,0,1084,68.24,18,53.85,-20.62,-0.5,0.03,-0.54,0.16,0.65,-0.54,0.16,0.65
1085,0,1085,67.94,18,57.41,-21.31,-0.52,0.03,-0.68,0.19,0.74,-0.68,0.19,0.74
1086,0,1086,67.7,18,59.39,-24.98,-0.61,0.03,-0.57,0.17,0.68,-0.57,0.17,0.68
1087,0,1087,67.48,18,52.4,-22.55,-0.55,0.03,-0.58,0.2,0.61,-0.58,0.2,0.61
