Zone,Arrondissement,U_mean,V_mean,Speed_mean,Speed_median,Speed_std,Speed_min,Speed_max_zone_mean,Speed_max_pixel_zone,Speed_P95,Speed_P99,DominantDirection_deg,DirectionalStability,N
Zone 1 - Lokoundje,Lokoundje,2.09453117496725,2.31760130335906,3.48733223941364,3.42591173432128,1.29580782133818,0.398359887291395,8.84360462664946,12.8602489642224,5.75695559328533,6.68904403892675,221.26579136227,0.886816252672307,167496
Zone 2 - Kribi II,Kribi II,2.19944656323094,2.46822980035674,3.70568804104583,3.64823010093745,1.33791042867478,0.42338282472078,9.13909613925724,12.6143094619888,6.04229965143017,6.99760290048974,221.009659052556,0.887016725130152,167496
Zone 3 - Kribi I,Kribi I,2.11479102978746,2.35481402152004,3.61020480584101,3.5419475797898,1.27522516295486,0.307427650035895,8.85163761601563,12.8711031759808,5.86325964582466,6.81399759732125,221.36391873015,0.875783125953192,167496
Zone 4 - Campo,Campo,1.86730235071764,2.32212534962199,3.4460444695976,3.34712436004037,1.23676526741051,0.41696809314494,8.30877542260749,12.165972660509,5.68857832396841,6.59515908322731,219.025223259449,0.871722757250759,167496
